,0,1,2,3,4
0,6495.677,707.33325,-364.91986,-22.114666,1.52
1,1437.3568,155.25699,-74.4111,-17.271437,2.19
2,9003.011,240.7637,-125.016754,-78.94765,1.44
3,1942.7437,153.92247,-70.27007,-45.011265,2.02
4,17121.7,272.77316,-130.62921,-60.641556,2.17
5,92.84573,217.72835,-99.83712,-56.112007,2.36
6,10963.468,355.57336,-167.33896,-79.31329,1.43
7,10519829.0,851.2236,-378.11893,-174.65244,0.27
8,317019.97,267.31467,-137.04321,-2.9867537,1.02
9,483.59424,69.51104,-30.48069,-25.15585,1.58
10,53567.055,342.61655,-197.51494,-197.51494,2.18
11,13517.448,197.5886,-128.7204,-12.183188,0.52
12,28058.027,268.99652,-158.66351,-18.65501,1.86
13,58043.254,97.57821,-62.67733,-62.67733,2.19
14,7114802.5,317.50775,-256.90582,-11.5891075,1.13
15,7790.352,187.42131,-99.86306,-25.301073,2.23
16,4188.5044,458.28473,-248.2717,-126.1454,1.93
17,957542.3,115.803986,-50.55043,-7.707688,1.39
18,4619.4883,161.2115,-102.92532,-102.92532,2.14
19,188012.84,218.30174,-72.206276,-27.615484,2.2
20,383847.84,97.536644,-38.24413,-7.1405926,1.92
21,110397.68,294.06598,-176.68118,-84.393745,1.21
22,2907.5627,185.44035,-78.94766,-30.023283,1.46
23,737.0557,284.76923,-131.09386,-1.412929,2.09
24,316978.66,281.77176,-90.84992,-80.82371,2.12
25,32308.129,234.45816,-102.26569,-83.90467,2.18
26,40700.082,353.78754,-210.23225,-6.702412,1.97
27,115.610214,112.914246,-61.26159,-14.60036,2.37
28,1033.8093,316.54785,-152.35483,-98.38518,2.45
29,1163.6904,141.30211,-70.39617,-32.388996,1.53
30,103.70664,152.84387,-72.0133,-68.49935,2.09
31,113.69848,232.5717,-137.7804,-137.7804,2.27
32,702.9901,86.61931,-48.414303,-16.016502,2.29
33,537.2587,176.4092,-69.472755,-41.143353,2.06
34,8071.9546,278.43127,-147.45361,-147.45361,2.18
35,33914.06,324.3953,-176.69777,-176.69777,2.22
36,569.82684,279.4397,-145.43768,-145.43768,2.33
37,37867.54,214.87231,-84.93627,-14.009005,0.85
38,23.66592,164.83923,-75.346344,-71.10433,2.17
39,16904.812,295.68665,-167.93839,-10.877121,2.03
40,2224.49,182.7714,-92.76121,-92.76121,2.13
41,729502.4,334.42114,-136.61467,-65.06369,1.26
42,285.24652,102.12604,-51.793762,-14.002554,1.62
43,431.64868,250.43515,-118.70595,-92.06586,2.25
44,10385.296,301.3947,-153.00327,-65.767265,2.03
45,631972.2,258.1353,-170.40677,-170.40677,2.2
46,14447.45,160.14313,-91.84435,-46.18102,1.28
47,2211.212,206.28102,-116.54975,-90.51169,2.2
48,181.68404,106.94319,-49.95578,-0.26299936,2.35
49,2844.9402,136.16794,-61.05552,-31.886564,1.19
50,42347020.0,895.30164,-321.06064,-12.979464,0.62
51,34.754036,176.35359,-81.42469,-32.06675,2.26
52,8451.051,153.93228,-100.300095,-61.945107,2.06
53,21353.365,233.51245,-100.7931,-100.7931,2.13
54,20115.166,237.00984,-110.497734,-110.497734,2.04
55,2294.6465,323.71317,-168.94647,-135.66872,2.47
56,290894.72,222.32147,-73.00302,-2.9558895,1.48
57,71440.82,281.95642,-134.01306,-87.96058,2.26
58,181.56462,119.87726,-58.065716,-20.534903,1.99
59,200.3454,112.58412,-53.318066,-6.138983,1.58
60,20.457521,151.83183,-69.70394,-53.37559,2.19
61,10295.849,401.5293,-203.40381,-203.40381,2.47
62,20692.57,183.25233,-74.08362,-62.35322,1.94
63,89.430084,236.91414,-138.03616,-138.03616,2.28
64,1185717.4,122.87214,-69.6333,-12.133075,2.17
65,5174.498,90.698975,-52.87661,-5.85143,2.0
66,499.76807,328.95755,-156.46204,-82.71164,2.24
67,2826.9316,172.74492,-71.0048,-43.47468,2.15
68,563.8061,238.51392,-143.98984,-143.98984,2.2
69,551.25867,157.65515,-83.19675,-38.341507,2.08
70,388.29266,106.67667,-53.29558,-11.296489,1.54
71,1464.777,234.06752,-119.4776,-12.373637,1.39
72,1041.4011,212.81024,-119.17108,-119.17108,2.2
73,6057.5117,164.08961,-77.73139,-77.73139,2.1
74,21798.17,253.66768,-124.02489,-124.02489,2.06
75,3168.4395,99.972336,-49.945038,-20.712448,2.22
76,10729425.0,2069.2676,-856.9057,-698.34814,0.12
77,7105.1587,196.28056,-104.95507,-68.104126,2.14
78,334.8204,78.445755,-40.974236,-2.7341464,2.18
79,40.99708,183.68271,-83.99789,-19.888617,1.69
80,358.70627,51.280987,-22.376904,-1.2507184,2.1
81,19256.67,212.09328,-110.04635,-50.48537,1.28
82,4165617.5,709.05316,-279.90277,-76.43896,0.81
83,19.439499,168.64761,-87.84975,-68.66868,2.28
84,126.38486,107.65177,-49.836834,-39.70501,2.08
85,570.5264,105.48904,-52.60102,-41.03407,2.18
86,13163.96,313.83728,-106.362,-106.362,2.49
87,24216.945,305.38223,-134.45831,-5.0831237,2.06
88,646994.25,231.45462,-130.0798,-101.88211,2.23
89,8764.869,251.70284,-127.88795,-99.23013,2.1
90,149798.77,249.7527,-91.61127,-46.711857,1.46
91,275.42422,118.08482,-59.342094,-34.625435,1.6
92,493.82294,194.33582,-89.49047,-47.78224,2.23
93,482.918,59.835423,-26.708311,-5.5909734,2.01
94,90.12262,219.35161,-97.365616,-86.55409,2.01
95,44.99244,179.25021,-77.71009,-49.63884,2.41
96,297.6311,104.8828,-49.363224,-23.064648,1.5
97,21919.682,228.05577,-108.15564,-40.25205,1.7
98,994.315,252.98103,-124.93544,-18.285637,1.63
99,57120.69,203.0726,-65.40865,-35.269737,1.52
100,8424.756,173.72203,-65.72281,-10.621185,1.96
101,1092831.1,246.26187,-78.31057,-56.149002,1.15
102,1228.5801,121.552055,-59.61994,-30.536,1.32
103,200669.33,336.2311,-196.63637,-64.62102,1.39
104,14582.797,223.51904,-97.043335,-62.70395,2.07
105,8970.565,162.41595,-56.390316,-21.026264,2.07
106,1095.3105,192.34297,-85.20225,-80.39013,2.16
107,48435660.0,1415.1437,-509.2129,-138.67596,0.27
108,221910370.0,2366.6482,-636.2702,-545.3764,0.53
109,9055.34,204.30711,-91.517624,-91.517624,2.19
110,26.712082,175.24266,-81.3447,-55.500046,2.1
111,1054.4856,68.323746,-33.89707,-2.7992303,2.22
112,2976.0227,175.4161,-101.11928,-13.845313,2.24
113,31973.418,481.43314,-231.50183,-53.76012,1.72
114,6644.386,369.33456,-170.43344,-21.127674,2.28
115,141993.83,227.93124,-159.76439,-116.87974,2.0
116,312161.88,273.65686,-130.33377,-22.99953,2.24
117,1442706.5,355.46442,-117.10286,-70.29694,1.31
118,2591.0159,91.223976,-40.21987,-36.718964,1.48
119,23516.793,282.44217,-157.19536,-140.9833,2.09
120,6682.5146,232.9938,-99.05679,-16.50263,1.45
121,1384.874,152.27287,-71.92085,-60.2914,2.19
122,2484.0537,224.6861,-129.42497,-129.42497,2.09
123,2864.7036,321.5495,-160.9594,-145.6443,1.74
124,1095.1753,116.457565,-68.948265,-30.645212,2.12
125,545855.94,139.94974,-89.95823,-18.974667,1.54
126,11883.773,358.69843,-158.11787,-93.07826,2.09
127,1542.1854,148.3071,-81.01529,-36.977806,1.39
128,83789.195,209.28362,-80.228676,-49.9092,2.1
129,802.31165,72.667336,-35.277756,-18.403585,2.29
130,976931.3,277.10178,-154.85208,-99.25856,2.28
131,18.875202,162.72302,-83.11373,-72.5084,2.0
132,20.581606,159.83554,-76.69548,-71.95951,2.33
133,2003.88,315.02454,-207.60478,-207.60478,2.3
134,50573.73,273.43707,-134.0163,-33.368187,1.43
135,667.25073,128.9885,-75.19592,-36.68246,2.17
136,1352.6844,255.48172,-109.73818,-45.605732,2.37
137,38950.8,217.73889,-140.06854,-36.92502,1.54
138,9507.377,258.7714,-145.83012,-145.83012,2.05
139,8124.644,252.97586,-128.47548,-128.47548,2.16
140,10740.506,188.43512,-112.72995,-36.12706,2.33
141,22.015476,165.95285,-81.96997,-45.29692,2.24
142,1178.645,84.72471,-40.38478,-11.384923,1.89
143,626443.9,493.5801,-209.64223,-36.160015,1.43
144,1790831.4,248.43394,-102.55287,-16.82867,1.35
145,1270.7797,80.9512,-45.144222,-3.0280404,2.1
146,904.00214,94.44218,-46.341957,-46.341957,2.07
147,723.6356,215.9758,-124.680504,-45.536697,1.86
148,13075.194,225.16437,-68.9246,-48.677708,2.2
149,4136.5884,168.41772,-90.08243,-35.08835,2.18
150,4542.774,177.9086,-78.65563,-74.59801,2.05
151,3559.0344,182.11314,-75.900154,-58.32843,1.88
152,3185235.0,883.6064,-431.94302,-110.8337,1.07
153,524721.5,274.50006,-150.32231,-150.32231,2.16
154,13726.879,278.51685,-116.73378,-101.27387,2.08
155,15046.838,275.43896,-171.99551,-16.527197,1.54
156,4461405.0,272.87915,-89.910416,-31.06713,1.3
157,907.49927,165.51463,-81.93081,-13.494673,1.95
158,399.87006,255.27824,-133.22328,-133.22328,2.05
159,43613.848,222.41402,-136.41855,-12.501901,0.9
160,6517.294,247.37976,-125.27446,-125.27446,2.12
161,1272.6614,92.16569,-39.446487,-1.0709863,2.16
162,203341.58,297.93793,-152.53874,-81.42884,2.19
163,265.15738,115.773346,-57.85717,-50.440357,2.26
164,22.239567,156.62332,-77.29048,-61.762917,2.14
165,694.5475,291.8666,-138.27382,-138.27382,2.47
166,5353.936,184.34818,-70.80905,-5.2499943,2.02
167,28.615982,171.0016,-82.82907,-36.355244,2.22
168,110139.62,133.05167,-64.23252,-46.556744,2.42
169,57349.156,217.83122,-94.475655,-60.75998,2.16
170,4262.5522,196.65866,-84.03869,-79.16123,2.16
171,527480.6,258.31726,-143.92967,-143.92967,2.11
172,53846.016,233.76411,-127.62348,-8.556102,1.45
173,2884.4626,244.29048,-123.65454,-120.79119,2.24
174,1265.049,77.935036,-33.766346,-23.34388,1.36
