,0,1,2,3,4
0,1339952.9,644.43677,-257.18646,-37.339794,1.25
1,397650.06,553.5653,-258.07364,-102.62652,1.18
2,335376.7,620.2377,-311.62918,-228.43353,1.01
3,212164620.0,1362.1573,-449.99854,-104.36936,1.48
4,555503.3,544.631,-284.62872,-202.88258,1.93
5,3044510.0,893.895,-368.09128,-309.66736,1.45
6,3122998.8,974.03864,-510.61697,-510.61697,1.5
7,8641078.0,1122.6515,-429.0841,-324.7513,0.96
8,277170.5,532.887,-296.23096,-0.50185674,1.41
9,8253762.5,1212.6539,-481.79382,-62.58502,1.11
10,3642586.5,879.32635,-340.70554,-92.39601,0.82
11,984274.5,489.6745,-267.80527,-267.80527,1.66
12,690925.8,401.3,-163.51588,-163.51588,0.99
13,21256042.0,604.8016,-165.85489,-89.743095,1.4
14,342447.2,303.0779,-135.35425,-20.332302,1.04
15,2967753.8,866.4501,-339.497,-211.49571,2.0
16,57253844.0,1301.2496,-473.18683,-473.18683,0.75
17,129006.09,555.97064,-275.60645,-27.855427,0.8
18,4505018.0,878.6612,-385.01245,-254.08752,0.79
19,15205088.0,675.17456,-254.83238,-237.21461,1.27
20,1993156.5,647.5981,-312.89594,-312.89594,0.77
21,4910958.0,600.2308,-226.831,-159.31425,0.86
22,218201.88,394.6232,-193.02635,-27.600542,0.84
23,17522266.0,348.76132,-110.78736,-110.78736,1.41
24,3432618.2,1496.9832,-630.35156,-630.35156,1.47
25,5928792.5,1097.313,-394.7942,-76.00719,1.32
26,5666720.0,583.56384,-236.78896,-236.78896,1.34
27,29728114.0,610.4694,-152.56003,-54.983707,1.38
28,424951.94,405.52557,-182.16417,-117.07642,1.93
29,3190567.8,493.69342,-199.06493,-170.8313,0.75
30,7662670.0,1414.8406,-618.2724,-117.640686,0.64
31,7117740.5,833.61444,-353.19943,-353.19943,1.26
32,54671656.0,1183.6699,-569.90405,-186.12292,0.84
33,1580888.8,936.9366,-388.61578,-379.71133,1.25
34,37906668.0,1379.6086,-745.2747,-745.2747,1.54
35,5284996.0,842.0824,-341.30923,-341.30923,1.43
36,193812.88,720.9006,-386.7111,-297.69238,1.06
