,0,1,2,3,4
0,95387384.0,1550.9459,-579.77637,-579.77637,0.41
1,322090750.0,1939.8629,-574.9232,-350.8889,0.1
2,5311093.0,1144.0542,-473.48355,-307.38852,2.09
3,1207469.8,623.954,-325.98593,-325.98593,1.92
4,336.95175,80.95922,-40.677017,-1.7726425,1.95
5,345722.1,325.10178,-161.9723,-57.720016,1.19
6,630567.9,443.96027,-150.19946,-58.44002,0.83
7,2463312.5,590.76184,-230.0272,-201.58702,1.78
8,991075.0,499.39188,-256.7664,-145.37878,1.42
9,49981696.0,1415.1248,-509.19485,-138.66064,0.27
10,124873704.0,1505.6246,-461.97562,-49.068005,0.31
11,1814492.1,584.8268,-192.26424,-79.61969,0.53
12,20981626.0,1409.3685,-514.05994,-22.223555,1.18
13,30839510.0,1896.5656,-894.561,-894.561,0.1
14,249922.4,301.2967,-127.872375,-114.427345,0.94
15,351160.34,800.9225,-349.3624,-64.84684,2.39
16,13376452.0,755.10724,-317.13983,-317.13983,0.5
17,41640024.0,672.4315,-216.08089,-216.08089,0.29
18,4324316.0,1913.2429,-983.05255,-616.5891,1.15
19,775840.5,522.9212,-283.36942,-53.989807,1.03
20,87713260.0,904.70746,-313.34113,-3.1408794,0.37
21,70768050.0,1754.0339,-629.12274,-204.51205,1.2
22,9714777.0,553.2829,-188.43115,-78.10624,1.1
23,2593663.2,513.45044,-203.71942,-20.48228,1.13
24,30303148.0,1896.5656,-894.561,-894.561,0.1
25,368198.88,325.10178,-161.9723,-57.720016,1.26
26,2979433.0,286.07797,-103.38443,-64.03436,1.08
27,841.23773,152.29475,-71.92771,-60.20714,2.26
28,1892492.1,338.31622,-123.22071,-45.001125,1.27
29,199388.08,252.4456,-135.01202,-78.1274,0.91
30,176185.94,523.5317,-244.20056,-213.9461,1.43
31,41150.51,227.40404,-125.65079,-87.77469,1.21
32,465.81885,113.954414,-57.12516,-45.580177,1.69
33,31995146.0,895.30164,-321.06064,-12.979464,1.22
34,227526.1,301.30316,-127.87886,-114.42734,1.0
35,2311.6492,213.9981,-114.81829,-79.80626,1.68
36,90388.59,224.51999,-125.11824,-95.24727,1.29
37,18161188.0,1031.1478,-321.14716,-268.4855,0.61
38,1021813.3,875.6586,-373.6008,-292.1707,1.64
39,386699.3,699.6158,-375.6548,-142.1513,1.29
40,107822440.0,1412.4775,-699.15424,-699.15424,1.16
41,4977809.5,1284.6919,-634.61816,-140.56566,0.86
42,11158114.0,872.8794,-351.40005,-68.86278,1.03
43,6080693.5,687.3107,-277.50415,-36.26094,0.35
44,4460336.0,814.03314,-312.38577,-163.0314,0.3
45,2562612.8,967.8106,-481.81522,-165.42592,0.27
46,98582700.0,1204.2692,-323.25302,-270.6988,0.36
47,58748.566,343.33044,-189.47357,-130.96344,1.46
48,7706985.5,1266.3896,-514.10675,-387.45895,0.46
49,135268.34,463.18756,-225.13533,-168.64336,0.73
50,11145351.0,1095.304,-372.62274,-32.36231,1.02
51,96563.01,786.73083,-360.17108,-244.83778,1.04
52,9403148.0,743.3652,-504.21902,-119.95235,2.01
53,10287461.0,2069.2676,-856.9057,-698.34814,0.12
54,6864792.0,1132.4725,-492.50528,-307.1561,1.0
55,114652424.0,1325.7476,-443.82202,-76.14687,0.32
56,651350.1,558.7511,-264.1096,-264.1096,1.34
57,3258507.8,883.6064,-431.9431,-110.83362,0.83
58,73947470.0,1550.9442,-579.79126,-579.79126,0.88
59,6302533.5,1068.6732,-431.04233,-89.29445,0.81
60,236458220.0,3347.0251,-1063.6973,-350.66174,0.19
61,18770384.0,1075.566,-350.82715,-244.42871,1.24
62,1032737.2,909.87524,-450.87314,-63.502438,1.32
63,9844275.0,845.1266,-296.8382,-167.68602,0.56
64,64261412.0,1227.094,-405.58694,-100.18505,0.64
65,1663039.9,986.08716,-425.87012,-366.58884,0.98
66,1366047.0,759.34894,-346.4432,-174.91203,0.6
67,4394155.0,1019.95,-549.23096,-218.74783,0.99
68,10458997.0,695.3578,-266.18802,-85.94686,0.66
69,12012570.0,817.6311,-291.1906,-258.62723,0.96
70,338699.94,397.91394,-187.09317,-36.776596,2.12
71,16731514.0,1312.0343,-480.92624,-302.94495,0.98
72,247000560.0,2169.2493,-553.6138,-553.6138,0.16
